organisation_number,registered_charity_number,charity_name,charity_type,charity_activities,charity_registration_status,charity_reporting_status,charity_is_cio,date_of_registration,charity_contact_address1,charity_contact_address2,charity_contact_address3,charity_contact_address4,charity_contact_address5,charity_contact_web,charity_contact_phone,charity_contact_email,charity_contact_postcode,latest_income,latest_expenditure,latest_acc_fin_period_start_date,latest_acc_fin_period_end_date,charity_gift_aid,charity_previously_excepted,charity_company_registration_number,charity_is_cdf_or_cif,charity_has_land,linked_charity_number,date_of_extract
200376,200376,"SISTERS OF MERCY, GRAVESEND, KENT",Trust,The charity's principal activities are:- Education through the support of St Josephs school- Healthcare through the support of the congregational members in their old age- Social and pastoral through community based programmes and local parish work,Registered,Submission Overdue,false,1962-01-16T00:00:00,Hedley Dunk Ltd,Trinity House,3 Bullace Lane,Dartford,,,01322221157,,DA1 1BB,494409.0,584473.0,2023-04-01T00:00:00,2024-03-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
200536,200536,THE SAINTS AND SINNERS TRUST LIMITED,Charitable company,"The charity distributes grants primarily to charitable institutions, trusts and undertakings established for charitable purposes, and thus seeks to enable other charitable organisations to achieve their objectives.It also, in association with the Crime Journalists Association, awards a prize annually for the most significant contribution to co-operation between the Media and the Police.",Registered,Submission Received,false,1961-10-17T00:00:00,162 Eden Way,BECKENHAM,Kent,,,,07973198660,HonSec@SaintsandSinnersClub.org,BR3 3DU,95339.0,93499.0,2024-11-01T00:00:00,2025-10-31T00:00:00,true,false,00682158,,false,0,2026-06-05T00:00:00
201654,201654,FRIENDS OF ANIMALS LEAGUE,Charitable company,Animal Sanctuary and Rehoming Centre,Registered,Submission Received,false,2002-03-27T00:00:00,FRIENDS OF ANIMALS LEAGUE,FOAL FARM,JAIL LANE,BIGGIN HILL,WESTERHAM,www.foalfarm.org.uk,01959572386,info@foalfarm.org.uk,TN16 3AX,1319405.0,1515116.0,2024-01-01T00:00:00,2024-12-31T00:00:00,true,false,04311334,,true,0,2026-06-05T00:00:00
201659,201659,THE EAST KENT ORTHOPAEDIC RESEARCH FUND,Trust,"Funding of clinical research projects by the members of the East Kent Dept o f Orthopaedic Surgery, and of a competitive Travelling Bursary for trainees in this department",Registered,Submission Received,false,1961-12-01T00:00:00,QUEEN ELIZABETH THE QUEEN MOTHERS,HOSPITAL,ST. PETERS ROAD,MARGATE,KENT,,01843225544,behrooz.mostofi@nhs.net,CT9 4AN ,0.0,175.0,2024-04-06T00:00:00,2025-04-05T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
204828,204828,THE CITY ARTS TRUST LIMITED,Charitable company,"to promote, maintain, improve and advance education, particularly by the encouragement of the arts, including the arts of design, drama, mime, dance, singing and music and to formulate, prepare and establish festivals and schemes therefor in the City of London and elsewhere",Registered,Submission Received,false,1962-02-28T00:00:00,LADYFIELD,2 Middlings Wood,Kippington Road,SEVENOAKS,,,01732743800,,TN13 2LF,0.0,0.0,2024-04-01T00:00:00,2025-03-31T00:00:00,true,false,00716035,,true,0,2026-06-05T00:00:00
205245,205245,THE FRIENDS OF ASHDOWN FOREST,Other,Assists the Conservators of Ashdown Forest to maintain the forest by provision of additional funds for specific items which they would otherwise not be able to afford.,Registered,Submission Received,false,1962-03-28T00:00:00,4 POLLINGTON PLACE,CROWBOROUGH,,,,www.friendsofashdownforest.co.uk,01892611414,ashdownfriends@aol.com,TN6 2NG,119875.0,90042.0,2024-07-01T00:00:00,2025-06-30T00:00:00,true,false,,,false,0,2026-06-05T00:00:00
205769,205769,MICHAEL YOAKLEY'S CHARITY,Other,Sheltered Housing and Residential Care for the Elderly,Registered,Submission Received,false,1962-09-22T00:00:00,YOAKLEY HOUSE,DRAPERS CLOSE,MARGATE,,,www.yoakleycare.co.uk,01843223652,admin@yoakleycare.co.uk,CT9 4AH ,1971107.0,1954404.0,2025-01-01T00:00:00,2025-12-31T00:00:00,true,false,,,true,0,2026-06-05T00:00:00
205894,205894,THE SANDWICH UNITED CHARITY,Other,"The charity provides and maintains almshouses and a chapel, within a conservation area, in the town of Sandwich. The almshouses are allocated to needy and predominantly elderly people residing in Sandwich or the adjoining parishes of Worth, Eastry, Woodnesborough and Ash. The chapel is used as a place of worship for residents and the local community.",Registered,Submission Received,false,1962-09-22T00:00:00,SANDWICH UNITED CHARITY,19/21 CATTLE MARKET,,SANDWICH,KENT,,01304611717,sandwichunitedcharity@outlook.com,CT13 9AP,198642.0,179121.0,2025-01-01T00:00:00,2025-12-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
205896,205896,THE DAVID ISAACS FUND,Other,"Provide relief for persons who are in need, hardship or distress who shall come to the attention of a District Judge or Coroner presiding at a Greater London or City of London Magistrates Court or Coroners Court.",Registered,Submission Received Late,false,1962-09-22T00:00:00,Blue Rocket Accounting,Unit 8,Twistleton Court,Priory Hill,DARTFORD,,01322555442,the.david.isaacs.fund@gmail.com,DA1 2EN,155982.0,153299.0,2023-10-01T00:00:00,2024-09-30T00:00:00,false,false,,,false,0,2026-06-05T00:00:00
205902,205902,MINSTER-IN-SHEPPEY FRIENDSHIP HOUSE TRUST,Other,"Provision of buildings, facilities, for elderly and disabled, and general charitable purposes.",Registered,Submission Received,false,1962-09-22T00:00:00,38 New Road,Minster On Sea,SHEERNESS,Kent,,,01795873709,,ME12 3PU,15727.0,22600.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
205964,205964,BEXLEY UNITED CHARITIES,Other,Management of Styleman's Almshouses in Bexley High Street,Registered,Submission Received,false,1980-04-01T00:00:00,BEXLEY UNITED CHARITIES,STYLEMANS ALMHOUSES,13 HIGH STREET,BEXLEY,KENT,,07831838054,bexleyunitedcharities@outlook.com,DA5 1AB,79416.0,53840.0,2024-04-01T00:00:00,2025-03-31T00:00:00,false,false,,,true,0,2026-06-05T00:00:00
