date_of_extract,organisation_number,registered_charity_number,linked_charity_number,charity_name,charity_type,charity_registration_status,date_of_registration,date_of_removal,charity_reporting_status,latest_acc_fin_period_start_date,latest_acc_fin_period_end_date,latest_income,latest_expenditure,charity_contact_address1,charity_contact_address2,charity_contact_address3,charity_contact_address4,charity_contact_address5,charity_contact_postcode,charity_contact_phone,charity_contact_email,charity_contact_web,charity_company_registration_number,charity_insolvent,charity_in_administration,charity_previously_excepted,charity_is_cdf_or_cif,charity_is_cio,cio_is_dissolved,date_cio_dissolution_notice,charity_activities,charity_gift_aid,charity_has_land
2026-04-24,206812,206812,0,SMEED'S CHARITY,Other,Registered,1962-09-22,,Submission Received,2025-01-01,2025-12-31,486.0,0.0,Kreston Reeves,Montague Place,Quayside,Chatham Maritime,CHATHAM,ME4 4QU,01634899800,,,,false,false,false,,false,false,,Aid for the poor of the parish of Tunstall,false,false
2026-04-24,207100,207100,0,THE WARDENS AND ASSISTANTS OF ROCHESTER BRIDGE IN THE COUNTY OF KENT,Other,Registered,1962-05-30,,Submission Received,2024-04-01,2025-03-31,3858749.0,6639464.0,Rochester Bridge Trust,St. Andrews House,The Precinct,ROCHESTER,Kent,ME1 1SU,01634846706,enquiries@rbt.org.uk,www.rbt.org.uk,,false,false,false,,false,false,,"The maintenance and improvement of two road bridges and a services bridge (known as Rochester Bridge).  Care of and access to archives and historical artefacts. The promotion of other charitable purposes through projects and the award of grants for education and research in engineering, agriculture & history; heritage structures; and charitable purposes connected to the River Medway.",false,true
2026-04-24,209192,209192,0,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS MEDWAY WEST BRANCH,Other,Registered,1962-10-29,,Submission Received,2024-01-01,2024-12-31,159620.0,164323.0,174 Walderslade Road,Chatham,,,,ME5 0PQ,01634681187,reception@rspcamedway.co.uk,www.rspcamedway.co.uk,,false,false,false,,false,false,,"We provide subsidised veterinary treatment for animals owned by local people on low income. We take in and rehome unwanted, abandoned and stray animals.We respond to enquires from the public on a whole range of animal welfare issues. We also provide volunteering opportunities for those who wish to support our work, including trusteeship, fundraising and providing work experience placements.",false,true
2026-04-24,209243,209243,0,PERRIN'S CHARITY,Other,Registered,1962-09-22,,Submission Received,2025-01-01,2025-12-31,221.0,0.0,"Ringshill Farm,",WOULDHAM,ROCHESTER,,,ME1 3TP,07974657788,catherine@ringshillfarm.co.uk,www.PerrinsCharity,,false,false,false,,false,false,,"For the residents of Wouldham near Rochester who:have lived in Wouldham for 10 years or moreare aged 70 years or overare known to be of good characterat the discretion of the Trustees, are known to be in need of financial assistance",false,false
2026-04-24,209751,209751,0,THE LORD KITCHENER MEMORIAL HOMES TRUST,Other,Registered,1962-12-14,,Submission Received,2024-04-01,2025-03-31,41931.0,24014.0,M H S HOMES,BROADSIDE,LEVIATHAN WAY,CHATHAM MARITIME,CHATHAM,ME4 4LL,01634354167,executivesupport@mhs.org.uk,www.mhs.org.uk,,false,false,false,,false,false,,"The purpose of the charity is to provide Almshouse accommodation for people who are in need and who live (or have lived) in the Borough of Medway, with preference given to those who have served in the Armed Forces and their dependents. Furthermore, the objects of the charity are such charitable purposes for the benefit of the residents as the trustee decides.",false,true
2026-04-24,211689,211689,0,WILLIAM ROLFE,Other,Registered,1962-10-10,,Submission Received,2025-01-01,2025-12-31,11106.0,13871.0,12 Villa Road,Higham,Rochester,,,ME3 7BS,01474823423,,,,false,false,false,,false,false,,"TO PROVIDE INCOME TOWARDS DEFRAYING THE COST OF SERVICES FORMERLY PROVIDED BY THE PARISH CLERK IN THE ECCLESIASTICAL PARISH OF SAINT JOHN AND SAINT MARY, HIGHAM, KENT.  IF THE INCOME IS NOT REQUIRED FOR THIS PURPOSE IN ANY YEAR, THEN IT IS USED FOR THE RELIGIOUS AND OTHER CHARITABLE WORK OF THE CHURCH OF ENGLAND IN THE ECCLESIASTICAL PARISH.",false,true
2026-04-24,212360,212360,0,GILLINGHAM UNITED CHARITIES,Other,Registered,1962-12-03,,Submission Received,2024-04-01,2025-03-31,926.0,0.0,MEDWAY COUNCIL,GUN WHARF,DOCK ROAD,CHATHAM,,ME4 4TR,01634332319,robin.baker@medway.gov.uk,,,false,false,false,,false,false,,"The purpose of the charity is to provide assistance to the poor, sick and needy of the ancient parish of Gillingham.",false,false
2026-04-24,212828,212828,0,RICHARD WATTS AND THE CITY OF ROCHESTER ALMSHOUSE CHARITIES,Other,Registered,1962-12-01,,Submission Received,2024-01-01,2024-12-31,1544562.0,1714004.0,The Office,Watts Almshouses,Maidstone Road,Rochester,,ME1 1SE,01634842194,martin.sissons@richardwatts.org.uk,www.richardwatts.org.uk,,false,false,false,,false,false,,Provision of Almshouse accommodation. Grant making to relieve sickness or need to persons resident in the City of Rochester,false,true
2026-04-24,212868,212868,0,ARTHUR INGRAM TRUST,Other,Registered,1962-12-04,,Submission Received,2024-04-01,2025-03-31,88133.0,74067.0,MEDWAY COUNCIL,GUN WHARF,DOCK ROAD,CHATHAM,,ME4 4TR,01634332319,robin.baker@medway.gov.uk,,,false,false,false,,false,false,,"To provide financial assistance towards education/training for young people aged between 14 and 20 years inclusive, who live in the Medway Council area,where they or their parents lack the necessary financial resources.",false,false
2026-04-24,213009,213009,0,DAME D E PEARCE,Other,Registered,1965-06-17,,Submission Overdue,2023-01-01,2023-12-31,0.0,0.0,56 Waterside Lane,Gillingham,,,,ME7 2SE,01634 932135,treasurer@gillinghamparishchurch.org.uk,,,false,false,false,,false,false,,Religious Activities,false,false
2026-04-24,213213,213213,0,"HOSPITAL OF SIR JOHN HAWKINS, KNIGHT, IN CHATHAM",Other,Registered,1963-03-01,,Submission Received,2024-03-01,2025-02-28,67993.0,84662.0,DEPUTY GOVERNOR,HOSPITAL OF SIR JOHN HAWKINS,KNIGHT IN CHATHAM,HIGH STREET,CHATHAM KENT,ME4 4EW ,01474365088,hawkinshospital@yahoo.co.uk,www.hawkinshospital.org,,false,false,false,,false,false,,"Under the Statutory Instrument of 1983 and Scheme Amendment of 1996, the provision of well maintained almshouse accommodation for the relief of needy or disabled persons who have served in the; Royal Navy, Royal Marines, WRNS QARNNS, Royal Fleet Auxiliary, Merchant Navy, Army, Royal Air Force or has been employed in HM Dockyards on the construction, maintenance, refitting or repair of HM Ships.",true,true
2026-04-24,214466,214466,0,FOORD ALMSHOUSES,Other,Registered,1963-11-21,,Submission Received,2024-04-01,2025-03-31,695790.0,726476.0,Foord Almshouses,The Office,Foord Almshouses,Priestfields,Rochester,ME1 3AF,01634844138,office@thefoordalmshouses.co.uk,,,false,false,false,,false,false,,Provision and management of self-contained accommodation for elderly people,false,true
2026-04-24,219318,219318,0,THE FRENCH HOSPITAL,Other,Registered,1964-04-03,,Submission Received,2023-07-01,2024-06-30,721388.0,873340.0,THE FRENCH HOSPITAL,41 La Providence,ROCHESTER,,,ME1 1NB,01634843107,clerk@frenchhospital.org.uk,www.frenchhospital.org.uk,,false,false,false,,false,false,,"THE HOSPITAL MAINTAINS 59 SELF-CONTAINED SHELTERED FLATS WITH ANCILLARY SERVICES AT LA PROVIDENCE, ROCHESTER, KENT.",true,true
2026-04-24,220855,220855,0,CLIFFE AND CLIFFE WOODS COMMUNITY TRUST,Other,Registered,1964-04-14,,Submission Received,2024-04-01,2025-03-31,21307.0,9896.0,52 REED STREET,CLIFFE,ROCHESTER,,,ME3 7UL,01634220422,mrpaulkingman@gmail.com,,CE004165,false,false,false,,false,false,,"Relief of need and educational purposes for residents & parish of Cliffe at Hoo, Rochester, Kent.",false,true
2026-04-24,223737,223737,0,JUBILEE MASTER'S LODGE NO 2712 BENEVOLENT FUND,Trust,Registered,1963-12-31,,Submission Received,2024-01-01,2024-12-31,3441.0,0.0,3 COPSE CLOSE,PATTENS LANE,ROCHESTER,,,ME1 2RS,01634406347,TREASURER@JUBILEEMASTERS.COM,,,false,false,false,,false,false,,General charitable,false,false
2026-04-24,230012,230012,0,THE SAINT PETER'S LODGE BENEVOLENT FUND,Trust,Registered,1964-01-30,,Submission Received,2023-12-01,2024-11-30,10419.0,8987.0,8 St. Johns Close,Higham,ROCHESTER,,,ME3 7BP,07980696850,peter1370@btinternet.com,,,false,false,false,,false,false,,Raffles and collections in the Lodge,false,false
2026-04-24,231532,231532,0,THE ROYAL AIR FORCES ASSOCIATION - MEDWAY TOWNS BRANCH,Other,Registered,1963-12-04,,Submission Received,2024-01-01,2024-12-31,146.0,212.0,20 Goudhurst Road,Gillingham,,,,ME8 6LG,01634543303,,"",,false,false,false,,false,false,,NO INFORMATION RECORDED,false,false
2026-04-24,233519,233519,0,UNITED CHARITIES OF THE ANCIENT PARISH OF BURHAM,Other,Registered,1964-11-18,,Submission Received,2024-01-01,2024-12-31,8022.0,4686.0,17 BELL CRESCENT,BURHAM,ROCHESTER,,,ME1 3SZ,01634867669,david_young17@btinternet.com,,,false,false,false,,false,false,,"Burham United Charities is a charity formed to provide help for the needy and poor living within the ancient parish boundries, now comprising the village of Burham and part of Blue Bell Hill.We offer financial assistance via grants and an annual Winter Fuel Grant to elderly residents in low income households but can also offer one-off assistance in cases of particular need.",false,false
2026-04-24,235248,235248,0,ECCLESIASTICAL MUSIC TRUST,Trust,Registered,1965-03-08,,Submission Received,2024-04-01,2025-03-31,8822.0,7761.0,1 Kings Orchard,ROCHESTER,Kent,,,ME1 1TG,01634812470,gordongiles@gmail.com,,,false,false,false,,false,false,,"Makes grants to individuals (includes loans) and makes grants to organisations (incl. schools, charities etc.)",false,false
2026-04-24,235886,235886,0,THE IRISH GENEALOGICAL RESEARCH SOCIETY,Other,Registered,1964-08-27,,Submission Received,2024-01-01,2024-12-31,21419.0,20869.0,18 STRATFORD AVENUE,GILLINGHAM,,,,ME8 0EP,01634362250,info@irishancestors.ie,http://www.irishancestors.ie/,,false,false,false,,false,false,,"To promote and encourage the study of Irish genealogy and to collect books and manuscripts of genealogical value.Has a library of books and documents relating mainly to Irish Family History, currently in store. Materials can be retrieved upon request by members.Publishes some records relating to Irish Family History on Society's website.For details see the Society's website.",true,false
2026-04-24,237820,237820,0,GILLINGHAM SICK POOR FUND,Other,Registered,1964-11-11,,Submission Received,2024-04-01,2025-03-31,113.0,0.0,MEDWAY COUNCIL,GUN WHARF,DOCK ROAD,CHATHAM,,ME4 4TR,01634332319,robin.baker@medway.gov.uk,,,false,false,false,,false,false,,"The purpose of the charity is to provide assistance to the poor, sick and needy of the ancient parish of Gillingham.",false,false
2026-04-24,237821,237821,0,THE ROCHESTER VETERANS CLUB,Trust,Registered,1966-01-03,,Submission Received,2024-04-07,2025-04-06,7540.0,7125.0,29 Robin Hood Lane,CHATHAM,Kent,,,ME5 9NS,01634 668649,david.brake@hotmail.co.uk,,,false,false,false,,false,false,,To provide sport and recreational facilities for the elderly and old people living in and around the Medway area using facilities which are fully maintained for the stated purpose.,false,false
2026-04-24,239570,239570,0,CHARITY OF JAMES WATSON RANDALL,Other,Registered,1965-01-25,,Submission Received,2025-01-01,2025-12-31,218.0,0.0,Emmaus Christian Centre,Clover Street,Chatham,Kent,,ME4 4DT,01634811632,admin@emmauschatham.co.uk,www.emmauschatham.co.uk,,false,false,false,,false,false,,"Charitable donations to needy individuals, good causes, and charity supported organisations",false,false
2026-04-24,242004,242004,0,CHARITY OF MISS MARY GOORD,Other,Registered,1965-05-26,,Submission Received,2024-01-01,2024-12-31,126.0,2500.0,HAVERSHAM HOUSE,DICKENSIAN CLOSE,UPPER STOKE,ROCHESTER,KENT,ME3 9TB,01634270026,bett9jg@btinternet.com,stpeterstpaulupperstoke.uk,,false,false,false,,false,false,,to help elderly    people in need in the parish,false,false
