Rank,Business,Sector,Based,% Growth
1,S.C.A. - Shipping Consultants Associated Ltd,Logistics and Fuel Retail,Chatham,490.2%
2,Drakemoor Ltd,Construction and Refurbishment,Sutton Valence,483.1%
3,Lawtech Group Ltd,Building Services,Gillingham,464.0%
4,Primech Building Services Ltd,Building Services,Rochester,398.8%
5,Kingsheath Construction Ltd,Building Services,Bredhurst,338.0%
6,Cooper Estates Ltd,Property Investment and Development,Longfield,300.9%
7,Comfort Click Ltd,Well-Being Retail and Wholesale,Sevenoaks,291.7%
8,FI Capital Holdings Ltd,Financial Services,Tunbridge Wells,270.4%
9,Hectic Lifestyles Ltd,"Manufacturing, Wholesale and Retail",Rochester,212.7%
10,MSV Group Ltd,Sport and Leisure,West Kingsdown,150.1%
11,360 Private Travel Ltd,Travel and Tourism,Sevenoaks,137.0%
12,G.H. Dean & Co. Ltd,Agriculture and Horticulture,Sittingbourne,114.0%
13,Lind Group Holding Company Ltd,Motorcycle Retail,Tonbridge,109.3%
14,CMT Equipment Ltd,Manufacturing and Clothing Retail,Dartford,99.7%
15,MEMS Power Generation Ltd,Energy,Gillingham,95.5%
16,London Chemicals & Resources Ltd,Chemicals Retail and Recycling,Westerham,95.4%
17,Offset Print Ltd,Print and Packaging/Manufacturing,Aylesford,92.2%
18,Vital Parts Ltd,Manufacturing,Maidstone,86.4%
19,BJF Group Ltd,Construction and Building Services,Maidstone,78.1%
20,Colsur Materials Ltd,Manufacturing,Staplehurst,73.9%
21,DDR Decorators Ltd,Building Services,Minster on Sea,73.5%
22,Total Machining Solutions Ltd,Manufacturing,Chatham,72.0%
23,F M Conway Ltd,Infrastructure Construction and Manufacturing,Sevenoaks,71.5%
24,The Change Organisation Ltd,Wholesale and Distribution,Whitstable,70.9%
25,JCB Medway Ltd,Motor Retail,Gillingham,66.2%
26,Wingham Wildlife Park (2008) Ltd,Animal Conservation and Tourism,Wingham,65.9%
27,Burtons of Maidstone Ltd,Manufacturing and Distribution,Marden,64.3%
28,Bedfont Scientific Ltd,Manufacturing,Harrietsham,63.4%
29,Channel Commercials Kent Ltd,Motor Retail,Ashford,63.1%
30,Haynes Brothers Ltd,Motor and Agricultural Machinery Retail,Maidstone,62.4%
31,Eaglecliff Ltd,Recruitment and Payroll Services,Sevenoaks,61.9%
32,Maidstone Electrical Centre Ltd,Electrical Wholesale,Maidstone,61.8%
33,Blakley Electrics Ltd,Manufacturing and Distribution,Crayford,58.9%
34,Quinn Investments Ltd,Property Development and Construction,Bridge,56.5%
35,Opus Care Holdings Ltd,Residential Care,Ashford,55.9%
36,Gallagher Group Holdings Ltd,Building Services and Construction,Aylesford,53.4%
37,GVE Commercial Solutions Ltd,Building Services,Maidstone,52.3%
38,Rumwood Green Farm Ltd,Horticulture,Langley,51.8%
39,The AD Construction Group Ltd,Building Services,Sidcup,48.9%
40,Abacus Lawrence Group Ltd,Manufacturing,Dartford,47.5%
41,COOK Trading Ltd,Manufacturing and Food Retail,Sittingbourne,47.2%
42,blu-3 (Holdings) Ltd,Construction and Building Services,Aylesford,47.0%
43,Becket Holdings Ltd,Motor Retail,Canterbury,46.6%
44,Consultus Care And Nursing Ltd,Domiciliary Care,Tonbridge,46.4%
45,Frankham Holdings Ltd,Building Services,Sidcup,44.8%
46,REDEC Ltd,Construction and Building Services,Ashford,44.0%
47,European Active Projects Ltd,Engineering and Manufacturing,Gillingham,43.4%
48,Mark Luck (Holdings) Ltd,Building Materials Retail and Waste,Swanley,43.2%
49,Temple Farm Ltd,Retail,Aylesford,42.8%
50,Symmetry Logistics Holdings Ltd t/a Europa Worldwide Group,Logistics,Dartford,41.4%
  
