name,url_kent_invicta_coc_page,url_website,telephone,ADDRESS,BUILDING_NUMBER,THOROUGHFARE_NAME,POST_TOWN,POSTCODE,CLASSIFICATION_CODE_DESCRIPTION,LOCAL_CUSTODIAN_CODE_DESCRIPTION,WARD_CODE,LAST_UPDATE_DATE,ENTRY_DATE,ORGANISATION_NAME,BUILDING_NAME
AC Goatham & Son,https://www.kentinvictachamber.co.uk/business-listings/ac-goatham-son/,https://www.acgoatham.com,01634 253424,"A C GOATHAM & SON, FLANDERS FARM, RATCLIFFE HIGHWAY, HOO, ROCHESTER, ME3 8QE",,RATCLIFFE HIGHWAY,ROCHESTER,ME3 8QE,Factory/Manufacturing,MEDWAY,E05014457,12/11/2018,30/07/2012,A C GOATHAM & SON,FLANDERS FARM
AHE Services Limited,https://www.kentinvictachamber.co.uk/business-listings/ahe-services-limited/,https://aheservicesltd.co.uk,01634 786616,"32, BALMORAL ROAD, GILLINGHAM, ME7 4PG",32,BALMORAL ROAD,GILLINGHAM,ME7 4PG,Property Shell,MEDWAY,E05014455,20/06/2022,30/08/2001,,
Air Ambulance Charity Kent Surrey Sussex,https://www.kentinvictachamber.co.uk/business-listings/kent-surrey-sussex-air-ambulance/,http://www.aakss.org.uk,01634 471900,"AIRPORT CAFE, ROCHESTER CITY AIRPORT, MAIDSTONE ROAD, CHATHAM, ME5 9SD",,MAIDSTONE ROAD,CHATHAM,ME5 9SD,Workshop / Light Industrial,MEDWAY,E05014452,10/02/2016,22/04/2013,AIRPORT CAFE,ROCHESTER CITY AIRPORT
Armac Shipping Services Ltd,https://www.kentinvictachamber.co.uk/business-listings/armac-shipping-services-ltd/,http://www.armacshipping.com,01634 712699,"35, RIVERSIDE ESTATE, SIR THOMAS LONGLEY ROAD, MEDWAY CITY ESTATE, ROCHESTER, ME2 4DP",35,SIR THOMAS LONGLEY ROAD,ROCHESTER,ME2 4DP,Office / Work Studio,MEDWAY,E05014468,25/10/2024,21/10/2010,,
Bearman HR Consultancy Ltd,https://www.kentinvictachamber.co.uk/business-listings/bearman-hr-consultancy-ltd/,https://bearmanhr.co.uk/,07956 466247,"24, CLANDON ROAD, CHATHAM, ME5 8YB",24,CLANDON ROAD,CHATHAM,ME5 8YB,Terraced,MEDWAY,E05014458,20/06/2022,30/08/2001,,
BSL Gas Technologies,https://www.kentinvictachamber.co.uk/business-listings/bsl-gas-technologies/,https://www.bslgastech.com/,01634 661100,"31, ROCHESTER AIRPORT INDUSTRIAL ESTATE, LAKER ROAD, ROCHESTER, ME1 3QX",31,LAKER ROAD,ROCHESTER,ME1 3QX,Workshop / Light Industrial,MEDWAY,E05014452,20/06/2022,09/07/2010,,
Chatha Hygiene Group Limited,https://www.kentinvictachamber.co.uk/business-listings/chatha-hygiene-ltd/,http://www.chathahygiene.com,01634 308252,"UNIT 1, NORTHPOINT BUSINESS ESTATE, ENTERPRISE CLOSE, MEDWAY CITY ESTATE, ROCHESTER, ME2 4LX",,ENTERPRISE CLOSE,ROCHESTER,ME2 4LX,Workshop / Light Industrial,MEDWAY,E05014468,07/05/2017,30/08/2001,,UNIT 1
Compass Coaching,https://www.kentinvictachamber.co.uk/business-listings/compass-coaching/,https://www.compass-coaching-change.com,07356 087489,"26, MAXIMILIAN DRIVE, HALLING, ROCHESTER, ME2 1NQ",26,MAXIMILIAN DRIVE,ROCHESTER,ME2 1NQ,Detached,MEDWAY,E05014451,20/06/2022,30/08/2001,,
Cubic Pharmaceuticals Ltd,https://www.kentinvictachamber.co.uk/business-listings/cubic-pharmaceuticals-ltd/,http://www.cubicpharmaceuticals.co.uk,01634 726628,"UNIT 6, SEXTANT PARK, NEPTUNE CLOSE, MEDWAY CITY ESTATE, ROCHESTER, ME2 4LU",,NEPTUNE CLOSE,ROCHESTER,ME2 4LU,Workshop / Light Industrial,MEDWAY,E05014468,07/09/2016,30/08/2001,,UNIT 6
Elkay Energy Saving Switches and Controls,https://www.kentinvictachamber.co.uk/business-listings/elkay-energy-saving-switches-controls/,https://elkay.co.uk,07766 517017,"1, MOTNEY HILL, RAINHAM, GILLINGHAM, ME8 7UA",1,MOTNEY HILL,GILLINGHAM,ME8 7UA,Detached,MEDWAY,E05014461,20/06/2022,30/08/2001,,
